fregola-sarda,"Bring at least 8 cups of water to a boil, salt the water generously, add the fregola, and cook for 10 to 15 minutes (or follow the package instructions). You want it al dente, not at all mushy. Drain, rinse lightly with cold water, and shake off as much residual moisture as possible."
fregola-sarda,"While the pasta is cooking, heat the olive oil in a large skillet over medium-high heat. Add the capers and garlic and cook until the capers burst and start to brown. Remove from the heat, discard the garlic, and stir in 1/4 teaspoon of salt."
fregola-sarda,"To serve, transfer the fregola to a large bowl or platter. Pour the contents of the skillet on top of the pasta and give it a good toss. Add the zest from the lemon and about 1 1/2 tablespoons of lemon juice -- a good, generous squeeze. Add the endives, basil, and most of the hazelnuts and toss again. Taste and adjust seasoning before finishing with the grated eggs, remaining hazelnuts, and currants."
Recipe       ,Instruction
pasta-recipes,"Crush or cut the toasted nori into the smallest flecks you can manage. In a small bowl, combine most of the nori, the oil, salt, lemon zest, sesame seeds, cayenne, cumin, and most of the chives and set aside."
pasta-recipes,"Bring a large pot of salted water to a boil. Add the noodles and cook according to the package instructions. Drain well, reserving 1 cup of the noodle water. Return the noodles to the pot and place it over low heat. Stir in a little of the reserved noodle water, most of the nori oil, and the cheese and stir well. Add more noodle water, a splash at a time, to loosen up the noodles as needed."
pasta-recipes,"Serve immediately topped with the remaining nori pieces, the chives, and the remaining nori oil."
pasta-recipes,"*To toast nori, gently wave it over the flame of a gas burner or bake it on a baking sheet in a 350Â°F oven until crisped. Cool, then crumble."
Recipe                      ,Instruction
grilled-zucchini-bread-salad,"Toss the chunks of bread in a large bowl with 2 tablespoons of the olive oil and a couple pinches of salt. Massage the oil into the bread a bit with your hands, turn out onto a baking sheet and toast until deeply golden in a 375F oven. It should take 8-12 minutes or so - tossing once or twice along the way.  Set aside."
grilled-zucchini-bread-salad,"Whisk the ponzu, toasted sesame oil, Serrano, and garlic together in a small bowl. Set aside."
grilled-zucchini-bread-salad,"Prep your grill, medium-high heat. Toss the zucchini in the same bowl you used for the bread, along with 2 more tablespoons of olive oil and a couple pinches of salt.  Either use a wide grilling basket, or, if your grill has narrow slats, arrange the zucchini across the grill. Cook for 10-15 minutes, turning often with a metal spatula, until the zucchini is tender and golden, with grill marks. It seems like a lot of zucchini, but it really cooks down. Remove  zucchini from the grill as it finishes."
grilled-zucchini-bread-salad,"Just before serving pour the ponzu dressing over the grilled zucchini and chickpeas in a large serving bowl, gently toss. Add the toasted bread and give another good toss. Serve topped with cherry tomatoes, lemon zest and basil."
Recipe      ,Instruction
tlt-sandwich,"Whisk together the 3 tablespoons of olive oil, shoyu, balsamic vinegar, brown sugar and adobo sauce. Pour 1/3 of the tempeh marinade into an 8x8 baking dish (or something comparable) - you want a dish that is just big enough to hold the tempeh in a single layer - this way it will be fully enveloped by the marinade. Pour the remaining marinade over the top of the tempeh, cover and keep in the refrigerator for a couple hours, overnight or until ready to use."
tlt-sandwich,"While the tempeh is marinating, go ahead and roast the tomatoes. Heat the oven to 375F. Cut each tomato in half and arrange them in a large oven-proof baking dish. Mix together the olive oil, sugar, and salt and pour this over the tomatoes. Gently toss them a bit, making sure they all get coated, finishing with each tomato facing cut-side up. Place in the oven and bake for 45 minutes or so, until the tomatoes are shrunken and sweet."
tlt-sandwich,When the tempeh is done marinating heat a large pan over medium-high heat and cook the tempeh slices for a few minutes on each side. You may need to do this in batches if you don't have a big enough pan. Set the tempeh slices aside until you are ready to assemble the sandwiches.
tlt-sandwich,"To assemble each sandwich take one slice of bread and slather a generous layer of mashed avocado. Place a small helping of the shredded lettuce on top of the avocado, a few tomatoes, then a few slices of the tempeh, and more tomatoes. Enjoy either open faced or topped with another avocado-slathered bread slice."
Recipe                ,Instruction
grillable-tofu-burgers,"Place all the ingredients except the olive oil in a food processor. Pulse until the mixture comes together and is free of most chunks, stopping to scrape down the sides of the food processor once or twice if needed. If it seems a bit thin to you, add more bread crumbs a handful at a time until everything comes together."
grillable-tofu-burgers,"Divide the mixture into eight equal portions and use your hands to (really) press and form into round but flat-ish patties. If you want larger burgers, shape into 4-5 patties. Allow to sit for ten minutes or so. You can also refrigerate at this point."
grillable-tofu-burgers,"If grilling, gently rub each patty with a bit of olive oil, and place on a medium hot grill. Grill, covered, usually 5-7 minutes on the first side, and 4-5 on the flip. Be sure the centers are cooked. If cooking on a stovetop, pour the olive oil into your largest skillet over medium-high heat, and arrange as many patties as you can without crowding. Cover, and cook turning once, until deeply browned on both sides. Roughly ten minutes. You want to make sure the middle of the patties cook through. If the pan is too hot you'll burn the outsides before the middle cooks up, so be mindful of that."
grillable-tofu-burgers,Serve with your favorite burger fixings!
Recipe                  ,Instruction
perfect-stovetop-popcorn,Heat a wide pot or skillet over medium-high heat. Make sure the pan is completely dry to start. Place 5 or 6 popcorn kernels in the pan and cover leaving just a hair of a crack open.
perfect-stovetop-popcorn,"When the kernels start to pop add the rest of the them, cover again, and cook until the remaining kernels pop, shaking now and then. Dial back the heat a bit as the popping slows. Remove from heat when the popping is every few seconds."
perfect-stovetop-popcorn,"Add half the butter to a large bowl, transfer the popcorn, and toss well with the remaining butter and salt to taste."
Recipe                   ,Instruction
garlic-lime-lettuce-wraps,"Use a mortar and pestle to smash the garlic and ginger into a paste. Heat 1/4 cup of the nut milk in a medium sauce pan over medium heat, stir in the ginger-garlic paste along with the salt, and barely simmer for a minute of two before adding the tempeh. Stir until well-coated, cover, and allow to cook for about five minutes, stirring once or twice along the way. Add the rice, stir, and allow it to heat."
