be_matched_ingredient,matched_grocery,price_list,avg_mid_price
butter to prep baking dish,"][organic girl true hearts butter, plus! lettuce, 86][miyoko's organic oat milk cultured butter, 86][butterball farm to family 93/7 ground turkey, 86][butterball farm to family ground turkey breast, 86][butterball farm to family organic 90/10 ground turkey, 86","[4.49, 5.99, 4.39, 4.99, 6.49]",5.16
extra-virgin olive oil,"][extra virgin olive oil, 100][bertolli extra virgin olive oil, 95][organic extra virgin olive oil, 95][goya extra virgin olive oil, 95][bartenura extra virgin olive oil, 95","[0.2959341716367685, 0.3371948709392001, 0.4139800915240466, 0.4907317589375474, 0.5999120834530914]",0.41
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
crushed red pepper flakes,"][crushed red pepper, 95][red bell pepper, 86][red grapefruit, 86][red onion, 86][red potatoes, 86","[0.4141636830749513, 1.49, 0.99, 0.99, 0.03251967994732418]",0.8
garlic,"][spice world minced garlic, 90][spice world organic garlic, 90][garlic parsley mini creamer potatoes, 90][spice world premium minced squeeze garlic, 90][spice world fresh whole garlic, 90","[8.19, 2.99, 3.99, 3.69, 1.59]",3.56
can crushed organic tomatoes,"][organic nectarines, 86][organic bananas, 86][organic peaches, 86][once upon a farm organic wild rumpus avocado fruit & veggie blend, 86][once upon a farm organic ohmymega veggie! fruit & veggie blend, 86","[3.928819291345526, 1.04126836452142, 3.6575645073105347, 21.787884266036436, 21.787884266036436]",9.79
zest of one lemon,"][lemon, 90][ready pac lemon kale with protein salad kit, 86][tessemae's organic lemon garlic dressing, 86][kevita raspberry lemon master brew kombucha, 86][concord foods reconstituted lemon juice, 86","[0.55, 5.99, 4.99, 2.99, 0.95]",2.98
balls of fresh mozzarella,"][fresh garden highway watermelon spears, 86][fresh garden highway cantaloupe spears, 86][fresh garden highway fresh mixed berries, 86][fresh garden highway cantaloupe chunks, 86][fresh garden highway watermelon chunks, 86","[3.742566006455141, 3.742566006455141, 7.188126774722659, 3.5940633873613295, 5.040088890456623]",4.18
Olive oil for the pan,"][once upon a farm organic coco for mangoes kids' dairy-free smoothie, 86][hoplark the calm one sparkling hoptea, 86][hoplark the citra bomb one sparkling hoptea, 86][hoplark the green tea one sparkling hoptea, 86][esse water essential oil enhanced lemon water, 86","[2.49, 2.99, 2.99, 2.99, 2.99]",2.99
/ 3 oz / 80g spelt flour or whole wheat pastry flour,"][organic whole carrots, 86][whole white mushrooms, 86][whole carrots, 86][spice world fresh whole garlic, 86][thin sliced chicken1-3 lbs, 86","[0.5046616783364787, 1.4787760807068906, 0.311012429672481, 1.59, 10.47]",1.19
/ 7.5 oz / 210 g all-purpose flour,"][all purpose flour, 90][naked green machine all natural fruit + boosts juice smoothie, 86][naked all natural protein zone double berry protein juice smoothie , 86][boneless & skinless chicken breasts value pack3.75-7.675 lbs, 86][tyson all natural all natural chicken nuggetsfrozen, 86","[0.2644583678724492, 2.2978475439555694, 2.627288052049558, 15.27, 2.2651093934637294]",2.4
/ 4 oz / 115g sugar,"][humm zero sugar peach tea kombucha, 86][humm zero sugar blood orange kombucha, 86][suja low sugar refreshers pack, 86][perdue boneless & skinless antibiotic free chicken breast1.3-2.4 lbs, 86][perdue chicken breast tenderloins antibiotic free0.8-1.4 lbs, 86","[1.6309918123873184, 1.6309918123873184, 30.001521632542644, 11.98, 6.99]",6.87
baking powder,"][double acting baking powder, 90][clabber girl gluten free double acting baking powder, 90][real ketones d-bhb keto lean weight loss for life powder sticksorange blast, 86][real ketones d-bhb exogenous keto caffeinated weight loss powder stickspeach, 86][nestle nesquik chocolate flavor powder, 86","[0.1730515855985441, 0.19238695829111888, 19.99, 14.99, 0.17492740533737597]",5.12
kosher salt,"][morton coarse kosher salt, 90][morton's of omaha usda choice salt & pepper beef brisket2.33-5lbs, 86][hormel sliced cured salt pork, 86][oscar mayer smoked uncured turkey bacon with sea salt, 86][phillips salt & pepper calamarifrozen, 86","[0.046250815711035474, 34.95, 0.13018748126069243, 0.14202270682984633, 0.35199562602515044]",0.21
eggs,"][grade a large eggs, 90][grade a extra large eggs, 90][hard cooked eggs, 90][cackle fresh grade a large eggs, 90][eggplant, 68","[1.69, 1.99, 1.49, 3.99, 1.49]",1.72
/ 240 ml olive oil,"][esse water essential oil enhanced lemon water, 86][esse water essential oil enhanced grapefruit water, 86][swamp head midnight oil oatmeal coffee stout beer, 86][vitacup genius ground coffee w/ keto mct oil, turmeric, & b vitamins (energy & focus) medium roast, 86][salted spreadable butter with canola oil, 86","[1.708658089167667, 1.708658089167667, 1.221173047191273, 10.006645619852202, 1.867378613379425]",1.76
/ 180 ml whole milk,"][whole milk, 90][giorgio fresh whole white mushrooms, 86][spice world fresh whole garlic, 86][rebbl elixir organic vegan maca mocha coconut milk, 86][genius juice whole coconut smoothie original, 86","[0.15535350158047903, 1.4787760807068906, 1.59, 1.9951011885640861, 2.9941518589277565]",1.69
fresh rosemary,"][rosemary, 90][ocean spray fresh cranberries, 86][fresh garden highway fruit burst, 86][fresh garden highway watermelon spears, 86][fresh garden highway pineapple spears, 86","[6.092382581703382, 0.16248963826522517, 0.219997266265719, 0.24422388401911854, 0.24422388401911854]",0.24
/ 140 g bittersweet chocolate (70% cacao),"][lindt lindor white chocolate & the collection pinot grigio, 86][lindt lindor dark chocolate & joel gott cabernet sauvignon, 86][duclaw sweet baby jesus! chocolate peanut butter porter beer, 86][godiva chocolate liqueur, 86][the original donut shop duos white chocolate and vanilla medium roast coffeekeurig k-cup pods, 86","[2.6487733333333336, 3.784773333333333, 0.7329102819153033, 5.488773333333333, 14.99]",3.97
sugar for top crunch,"][crunch pak sweet apple snackers with pretzels & cheese, 86][once upon a farm organic coco for mangoes kids' dairy-free smoothie, 86][crunch pak disney foodles peeled apples, cheese & crackers, 86][humm zero sugar peach tea kombucha, 86][humm zero sugar blood orange kombucha, 86","[0.5912960499628231, 0.6499585530609007, 0.7012023789521954, 0.2720617506151853, 0.2720617506151853]",0.5
olive oil or butter,"][organic girl true hearts butter, plus! lettuce, 86][greenhouse grown butter lettuce, 86][ready pac foods tender butter lettuce, 86][revol greens sweet butter blend, 86][esse water essential oil enhanced lemon water, 86","[1.758020423640629, 1.2146481125475468, 1.8245824441348175, 1.2146481125475468, 0.3206442060821827]",1.4
chopped celery (and leaves),"][celery, 90][celery sticks, 86][chopped kale, 86][celery hearts, 86][taylor farms chopped kale juicing greens, 86","[1.5544101306901357, 2.4954020353092647, 3.119252544136581, 2.3889927511949067, 3.849512337078256]",2.67
instant minced onions OR French onion dip mix,"][minced onion, 90][crazy fresh melon mix, 86][organic spring mix lettuce, 86][yellow onions, 86][yellow onion, 86","[0.9318682869186405, 0.6700949626221678, 1.093183301292792, 0.09755903984197255, 0.95]",0.85
salt,"][hormel sliced cured salt pork, 90][shiner sea salt & lime beer, 90][sea salt caramel hot cocoa mix, 90][swiss miss salted caramel, 90][salted butter, 90","[3.99, 15.99, 4.99, 2.19, 2.99]",3.99
brown basmati rice,"][basmati rice, 90][90 second brown basmati rice microwavable pouch, 90][rice select texmati brown basmati rice, 90][lundberg organic long grain california brown basmati rice, 90][seeds of change organic brown basmati rice microwavable pouch, 90","[1.8204333409760314, 3.318693243889559, 3.0201458579516394, 4.689311098961181, 5.282417056841961]",3.68
orange juice,"][orange juice, 100][organic orange juice, 90][pulp free 100% orange juice from concentrate, 90][pulp free 100% orange juice not from concentrate w/ calcium & vitamin d, 90][tropicana pure premium no pulp orange juice, 90","[0.7225366459837355, 5.320269836170897, 0.6975353779566166, 1.1662129947419142, 1.1354422033239218]",1.01
water,"][mini watermelon, 90][fresh garden highway watermelon spears, 90][watermelon spears, 90][crazy fresh watermelon spears, 90][crazy fresh watermelon chunks, 90","[3.99, 0.7808563643097761, 0.7808563643097761, 0.9373406056544206, 0.9998299793647153]",0.91
chopped carrots,"][chopped caesar salad kit, 86][avocado toast chopped salad kit, 86][asian style chopped salad kit, 86][southwest chopped salad kit, 86][sweet kale chopped salad kit, 86","[2.9865333236000318, 2.4043210511292674, 2.5615266583184892, 2.642844964931774, 2.774987213178363]",2.66
toasted cashews,"][toasted head chardonnay white wine, 86][toasted head cabernet sauvignon red wine, 86][blue point toasted lager beer, 86][reformation stark toasted porter beer, 86][starbucks toasted graham blonde light roast coffeekeruig k-cup pods, 86","[3.466978666666667, 3.466978666666667, 0.7107027124508992, 1.332289793978468, 16.79]",2.76
bunch chopped scallions,"][chopped kale, 86][broccoli bunch, 86][maple bourbon bacon chopped salad kit, 86][cilantro bunch, 86][taylor farms chopped kale juicing greens, 86","[2.99, 2.59, 3.99, 1.39, 3.69]",3.09
Roma tomatoes (or similar),"][roma tomatoes, 90][medley tomatoes, 86][globe tomatoes, 86][essentia water 9.5 ph or higher ionized alkaline water, 86][21st amendment brew free! or die blood orange ipa beer, 86","[3.18005608564525, 10.528185682287166, 1.99, 1.7372880000000002, 4.256310548294927]",3.14
medium white onion,"][white onion, 90][yellow onion, 86][red onion, 86][giorgio fresh whole white mushrooms, 86][french onion cashew plant based dip + spread, 86","[0.99, 0.95, 0.99, 1.89, 4.29]",1.29
large garlic clove,"][extra large red seedless grapes, 86][extra large green seedless grapes, 86][extra large red seedless grape, 86][garlic parsley mini creamer potatoes, 86][spice world premium minced squeeze garlic, 86","[3.59, 3.79, 2.39, 3.99, 3.69]",3.69
a couple pinches of finely ground sea salt,"][once upon a farm organic wild rumpus avocado fruit & veggie blend, 86][once upon a farm organic green kale & apples fruit & veggie blend, 86][once upon a farm organic coco for mangoes kids' dairy-free smoothie, 86][once upon a farm organic dairy-free strawberry banana swirl kids' smoothie, 86][once upon a farm organic dairy-free go-go greens kids' smoothie, 86","[2.49, 2.49, 2.49, 2.49, 2.49]",2.49
of extra-virgin olive oil,"][extra virgin olive oil, 95][goya extra virgin olive oil, 92][bertolli extra virgin olive oil, 89][organic extra virgin olive oil, 89][garlic infused extra virgin olive oil, 89","[0.4439012574551528, 0.7360976384063211, 0.5057923064088001, 0.6209701372860699, 0.8874809258208639]",0.62
medium dried guajillo chile pepper,"][red bell pepper, 86][green bell pepper, 86][orange bell pepper, 86][yellow bell pepper, 86][salsa mexicana medium, 86","[1.49, 0.79, 1.49, 1.49, 4.99]",1.49
chipotles in adobo sauce (canned),"][steam-in-bag spinach, 86][restaurant-style chicken dipping sauce & dressing, 86][cook-in-bag homestyle boneless turkey breastfrozen, 86][bone-in center cut pork chops family pack2.74-4.56 lbs, 86][bone-in thin cut center cut pork chops1.13-1.88 lbs, 86","[1.99, 2.99, 17.99, 19.56, 9.95]",10.31
cilantro,"][cilantro avocado salad bowl, 90][cilantro bunch, 90][organic cilantro, 90][bitchin' cilantro sauce, 90][avocado cilantro dressing & dip, 90","[2.240533342739731, 1.39, 20.781107250568795, 2.602854547699254, 0.8709532643629048]",2.08
toasted walnuts,"][toasted head chardonnay white wine, 86][toasted head cabernet sauvignon red wine, 86][blue point toasted lager beer, 86][reformation stark toasted porter beer, 86][starbucks toasted graham blonde light roast coffeekeruig k-cup pods, 86","[6.933957333333334, 6.933957333333334, 1.4214054249017984, 2.664579587956936, 16.79]",5.51
garlic,"][spice world minced garlic, 90][spice world organic garlic, 90][garlic parsley mini creamer potatoes, 90][spice world premium minced squeeze garlic, 90][spice world fresh whole garlic, 90","[8.19, 2.99, 3.99, 3.69, 1.59]",3.56
salt,"][hormel sliced cured salt pork, 90][shiner sea salt & lime beer, 90][sea salt caramel hot cocoa mix, 90][swiss miss salted caramel, 90][salted butter, 90","[3.99, 15.99, 4.99, 2.19, 2.99]",3.99
hot water,"][nashville hot chopped salad kit, 86][harmless harvest coconut water, 86][naked juice organic coconut water, 86][esse water essential oil enhanced lemon water, 86][esse water essential oil enhanced grapefruit water, 86","[4.439979541085381, 3.9094979629270363, 1.9492112871320606, 2.5629871337515007, 2.5629871337515007]",3.01
grated Parmesan cheese,"][grated parmesan cheese, 100][grated parmesan cheese cup, 95][crunch pak sweet apple snackers with pretzels & cheese, 86][crunch pak disney foodles peeled apples, cheese & crackers, 86][litehouse squeeze blue cheese dressing, 86","[1.3509806169420977, 3.3299846558140356, 2.3631865780608776, 2.802440588852862, 1.020277253567082]",2.17
Juice and zest of one lemon,"][lemon, 90][hearts of romaine, 86][ready pac lemon kale with protein salad kit, 86][kevita raspberry lemon master brew kombucha, 86][naked juice guava, 86","[0.55, 2.99, 5.99, 2.99, 2.79]",2.92
Freshly ground black pepper,"][ground black pepper, 95][red bell pepper, 86][green bell pepper, 86][orange bell pepper, 86][yellow bell pepper, 86","[2.59, 1.49, 0.79, 1.49, 1.49]",1.49
/ 3/4 pounds green string beans,"][once upon a farm organic green kale & apples fruit & veggie blend, 86][green bell peppers, 86][green bell pepper, 86][green bananas, 86][green beans, 86","[9.35413322986296, 1.99, 0.79, 0.65, 2.7949699289229084]",1.86
extra virgin olive oil,"][extra virgin olive oil, 100][bertolli extra virgin olive oil, 95][organic extra virgin olive oil, 95][goya extra virgin olive oil, 95][bartenura extra virgin olive oil, 95","[4.79, 8.19, 6.99, 7.99, 9.59]",7.72
Scant 2 pounds of starchy potatoes,"][russet potatoes, 86][hearts of romaine, 86][red potatoes, 86][sweet potatoes, 86][golden potatoes, 86","[2.99, 2.99, 2.99, 2.99, 4.99]",2.99
egg,"][eggplant, 90][classic eggnog, 90][light eggnog, 90][reiter creamy egg nog, 90][just egg plant based egg, 90","[1.49, 2.49, 2.49, 4.59, 3.99]",2.99
scant 1 cup of unbleached all-purpose flour,"][unbleached all purpose flour, 90][all purpose flour, 90][hearts of romaine, 86][naked all natural protein zone double berry protein juice smoothie , 86][smart chicken organic boneless & skinless chicken breast0.75-1.75lbs, 86","[1.69, 1.69, 2.99, 3.19, 19.23]",2.62
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
